Time,data
49.187681195,0.0
59.235412594,20.0
69.23773956,40.0
79.241053578,60.0
89.25911617,80.0
99.27914333,100.0
109.335968014,120.0
119.312049862,140.0
129.307801243,160.0
139.325391766,180.0
149.464551922,200.0
159.735586163,220.0
169.740063664,240.0
176.424057004,253.3401641845703
187.571064706,253.3401641845703
197.583834406,273.34014892578125
207.591821428,293.34014892578125
217.594601389,313.34014892578125
227.589098688,333.34014892578125
237.607671495,353.34014892578125
247.623368974,373.34014892578125
