Time,data
1.185658693,0.0
5.031022787,0.0
354.533418416,149.2692413330078
490.827587842,213.86923217773438
627.649053335,278.46923828125
765.044604539,343.0692443847656
902.607465982,407.66925048828125
1444.56683278,666.99560546875
1582.172530889,731.5956420898438
1719.335931539,796.1956176757812
1856.335126161,860.7955932617188
1993.311971425,925.3956298828125
2537.545219659,1184.7220458984375
2675.065287351,1249.322021484375
2812.39054799,1313.9219970703125
2949.556421041,1378.52197265625
3086.550992727,1443.1219482421875
3629.440699815,1702.4483642578125
3766.277695894,1767.04833984375
3903.363648652,1831.6483154296875
4040.297423601,1896.2484130859375
4177.744554281,1960.848388671875
4723.439234495,2220.1748046875
4860.971609353,2284.774658203125
4997.801018953,2349.374755859375
5135.292948484,2413.974853515625
5272.403498887,2478.57470703125
5815.909074544,2737.901123046875
5953.03106904,2802.501220703125
6090.425547361,2867.10107421875
6227.707659006,2931.701171875
6364.93902564,2996.301025390625
6908.818887472,3255.62744140625
7045.830317735,3320.2275390625
7183.346909284,3384.827392578125
